order_number,Rec_0,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14
563352,"['Fasteners', 11.595600000000001]","['Machining', 7.9018]","['Pneumatics', 4.945]","['Electrical', 4.6857]","['Plumbing', 4.5085]","['Adhesives, Sealants and Tape', 3.8619000000000003]","['Power Tools', 3.5084]","['Lubrication', 3.3841]","['Abrasives', 3.3348999999999998]","['Cleaning', 3.2946999999999997]","['Hand Tools', 3.2414]","['Safety', 2.8841]","['Electronics, Appliances, and Batteries', 2.5121]","['Material Handling', 2.4193]","['Paint, Equipment and Supplies', 2.1386999999999996]"
563413,"['Plumbing', 13.5929]","['Electrical', 7.5366]","['Adhesives, Sealants and Tape', 5.5304]","['Fasteners', 5.3626000000000005]","['Lubrication', 5.1691]","['Pneumatics', 5.0097000000000005]","['Cleaning', 4.1927]","['Machining', 4.0307]","['Safety', 3.7256]","['Hand Tools', 3.6473999999999998]","['Abrasives', 3.4431]","['Power Tools', 3.4078]","['Electronics, Appliances, and Batteries', 3.104]","['Lighting', 2.9979999999999998]","['Material Handling', 2.9610000000000003]"
563535,"['Safety', 30.1691]","['Cleaning', 22.101]","['Hand Tools', 14.909599999999998]","['Adhesives, Sealants and Tape', 13.277199999999999]","['Material Handling', 10.462299999999999]","['Electrical', 10.274000000000001]","['Electronics, Appliances, and Batteries', 10.1496]","['Power Tools', 9.1013]","['Abrasives', 8.858]","['Lighting', 8.053799999999999]","['Machining', 7.9655000000000005]","['Lubrication', 7.953200000000001]","['Plumbing', 7.5046]","['Paint, Equipment and Supplies', 7.3875]","['Fasteners', 7.047000000000001]"
563676,"['Safety', 19.2291]","['Hand Tools', 7.6015999999999995]","['Cleaning', 7.4424]","['Adhesives, Sealants and Tape', 6.8091]","['Power Tools', 5.3529]","['Electrical', 5.266099999999999]","['Electronics, Appliances, and Batteries', 5.175500000000001]","['Material Handling', 4.6762999999999995]","['Abrasives', 4.366]","['Lighting', 4.2112]","['Machining', 3.9691]","['Lubrication', 3.7332000000000005]","['Plumbing', 3.6767]","['Fasteners', 3.5137]","['Paint, Equipment and Supplies', 3.4855]"
563960,"['Safety', 13.9934]","['Hand Tools', 9.0566]","['Cleaning', 8.4525]","['Adhesives, Sealants and Tape', 7.3694999999999995]","['Material Handling', 5.6005]","['Electrical', 5.4503]","['Pneumatics', 5.3306000000000004]","['Electronics, Appliances, and Batteries', 5.096400000000001]","['Power Tools', 4.9536]","['Abrasives', 4.6746]","['Paint, Equipment and Supplies', 4.6088000000000005]","['Machining', 4.3906]","['Lighting', 4.204]","['Lubrication', 4.1737]","['Plumbing', 4.1263000000000005]"
564084,"['Hand Tools', 15.878]","['Safety', 8.4498]","['Adhesives, Sealants and Tape', 7.0716]","['Cleaning', 6.6623]","['Material Handling', 6.477799999999999]","['Electrical', 5.9876000000000005]","['Power Tools', 5.7622]","['Electronics, Appliances, and Batteries', 4.7998]","['Abrasives', 4.6019]","['Machining', 4.5463]","['Lighting', 4.454]","['Lubrication', 3.9393]","['Pneumatics', 3.8025]","['Fasteners', 3.8]","['Paint, Equipment and Supplies', 3.7392000000000003]"
564155,"['Fasteners', 11.3164]","['Pneumatics', 10.586500000000001]","['Adhesives, Sealants and Tape', 9.622]","['Lighting', 8.4583]","['Plumbing', 7.6514999999999995]","['Electrical', 7.5714999999999995]","['Cleaning', 7.113599999999999]","['Hand Tools', 6.9693000000000005]","['Machining', 6.944100000000001]","['Safety', 6.0603]","['Power Tools', 5.8492]","['Lubrication', 5.575900000000001]","['Abrasives', 5.4758]","['Electronics, Appliances, and Batteries', 5.2834]","['Paint, Equipment and Supplies', 5.1498]"
564534,"['Machining', 19.4079]","['Hand Tools', 13.7976]","['Adhesives, Sealants and Tape', 9.4239]","['Power Tools', 9.2729]","['Cleaning', 8.2483]","['Abrasives', 8.2354]","['Material Handling', 8.0396]","['Safety', 7.9845999999999995]","['Electrical', 7.715700000000001]","['Fasteners', 7.0256]","['Pneumatics', 6.8796]","['Lubrication', 6.7028]","['Electronics, Appliances, and Batteries', 6.3129]","['Plumbing', 6.2558]","['Lighting', 6.2142]"
564544,"['Power Tools', 5.3426]","['Abrasives', 5.262500000000001]","['Fasteners', 4.327800000000001]","['Cleaning', 4.1184]","['Machining', 4.057300000000001]","['Safety', 3.8024999999999998]","['Pneumatics', 3.6617999999999995]","['Adhesives, Sealants and Tape', 3.6308]","['Hand Tools', 3.5788999999999995]","['Material Handling', 3.5027]","['Electrical', 3.3495]","['Fleet and Vehicle Maintenance', 2.9270000000000005]","['Lubrication', 2.8603]","['Plumbing', 2.8573999999999997]","['Electronics, Appliances, and Batteries', 2.5482]"
564546,"['Hand Tools', 22.3988]","['Power Tools', 16.5737]","['Cleaning', 12.437299999999997]","['Safety', 11.1169]","['Adhesives, Sealants and Tape', 10.677700000000002]","['Electrical', 9.8884]","['Abrasives', 9.6366]","['Material Handling', 8.793399999999998]","['Machining', 8.545300000000001]","['Pneumatics', 7.7886000000000015]","['Electronics, Appliances, and Batteries', 7.6941999999999995]","['Lighting', 7.660400000000001]","['Lubrication', 7.1598]","['Test Instruments', 7.0784]","['Fasteners', 7.051899999999998]"
564684,"['Cleaning', 32.226600000000005]","['Safety', 31.3221]","['Fasteners', 29.8211]","['Hand Tools', 23.3061]","['Adhesives, Sealants and Tape', 23.243699999999997]","['Machining', 20.8691]","['Electrical', 20.2899]","['Electronics, Appliances, and Batteries', 18.428400000000003]","['Pneumatics', 18.262299999999996]","['Material Handling', 17.993199999999998]","['Power Tools', 17.571700000000003]","['Abrasives', 17.1954]","['Plumbing', 17.124700000000004]","['Lubrication', 16.5257]","['Paint, Equipment and Supplies', 13.756499999999999]"
564813,"['Fasteners', 39.44500000000001]","['Plumbing', 24.3584]","['Pneumatics', 21.957500000000003]","['Machining', 20.4028]","['Electrical', 20.301799999999997]","['Hand Tools', 19.822199999999995]","['Cleaning', 19.232599999999998]","['Adhesives, Sealants and Tape', 18.4522]","['Abrasives', 17.613499999999995]","['Lubrication', 16.297900000000002]","['Safety', 16.0205]","['Power Tools', 15.894200000000001]","['Electronics, Appliances, and Batteries', 14.146999999999998]","['Paint, Equipment and Supplies', 12.3884]","['Material Handling', 12.2406]"
564931,"['Plumbing', 12.9629]","['Electrical', 10.783900000000003]","['Adhesives, Sealants and Tape', 8.7929]","['Fasteners', 8.0076]","['Hand Tools', 6.5308]","['Safety', 6.4868]","['Lighting', 6.224299999999999]","['Pneumatics', 6.149899999999999]","['Cleaning', 6.1379]","['Machining', 5.4462]","['Power Tools', 5.323600000000001]","['Lubrication', 4.917199999999999]","['Abrasives', 4.8147]","['Electronics, Appliances, and Batteries', 4.749300000000001]","['Material Handling', 4.6385]"
564987,"['Safety', 14.481399999999999]","['Electrical', 12.3855]","['Cleaning', 12.335799999999999]","['Hand Tools', 11.5101]","['Adhesives, Sealants and Tape', 9.5428]","['Material Handling', 8.8653]","['Fleet and Vehicle Maintenance', 8.5596]","['Pneumatics', 8.051]","['Electronics, Appliances, and Batteries', 7.828800000000001]","['Power Tools', 7.5332]","['Lubrication', 7.390000000000001]","['Plumbing', 6.922700000000001]","['Abrasives', 6.864699999999999]","['Machining', 6.7493]","['Fasteners', 6.702300000000001]"
565051,"['Pneumatics', 3.0]","['Plumbing', 0.8895]","['Fasteners', 0.8088]","['Electrical', 0.8016]","['Machining', 0.7494]","['Adhesives, Sealants and Tape', 0.6837]","['Lubrication', 0.6333]","['Cleaning', 0.6321]","['Abrasives', 0.6267]","['Hand Tools', 0.5712]","['Power Tools', 0.5607]","['Safety', 0.49529999999999996]","['Material Handling', 0.4674]","['Fleet and Vehicle Maintenance', 0.4614]","['Electronics, Appliances, and Batteries', 0.45480000000000004]"
565208,"['Fasteners', 20.6668]","['Electrical', 7.377599999999999]","['Plumbing', 6.925999999999999]","['Hand Tools', 6.2336]","['Machining', 6.135000000000001]","['Pneumatics', 6.0760000000000005]","['Adhesives, Sealants and Tape', 5.8628]","['Electronics, Appliances, and Batteries', 5.429600000000001]","['Cleaning', 5.1334]","['Power Tools', 4.9436]","['Lubrication', 4.8236]","['Safety', 4.7834]","['Abrasives', 4.5962]","['Material Handling', 3.639]","['Lighting', 3.3141999999999996]"
565280,"['Adhesives, Sealants and Tape', 9.8786]","['Safety', 9.272]","['Electronics, Appliances, and Batteries', 7.410500000000001]","['Machining', 7.1591]","['Abrasives', 6.740599999999999]","['Cleaning', 6.4969]","['Hand Tools', 6.3267999999999995]","['Lubrication', 5.6586]","['Electrical', 5.4146]","['Pneumatics', 5.175999999999999]","['Power Tools', 4.932]","['Plumbing', 4.4728]","['Fasteners', 4.4022]","['Material Handling', 4.3248]","['Fleet and Vehicle Maintenance', 4.2006]"
565318,"['Safety', 11.9266]","['Electrical', 9.799900000000001]","['Adhesives, Sealants and Tape', 9.6689]","['Hand Tools', 7.651999999999999]","['Power Transmission', 7.5729999999999995]","['Cleaning', 7.1175]","['Material Handling', 5.7281]","['Plumbing', 5.424799999999999]","['Power Tools', 5.3264000000000005]","['Electronics, Appliances, and Batteries', 5.271700000000001]","['Fasteners', 5.1232999999999995]","['Fleet and Vehicle Maintenance', 5.091900000000001]","['Abrasives', 5.0108]","['Machining', 4.960800000000001]","['Pneumatics', 4.8636]"
565410,"['Plumbing', 23.6706]","['Electrical', 14.705000000000002]","['Safety', 12.123999999999999]","['Adhesives, Sealants and Tape', 11.559]","['Pneumatics', 11.4405]","['Cleaning', 10.5679]","['Fasteners', 10.515299999999998]","['Machining', 9.3281]","['Hand Tools', 9.041199999999998]","['Paint, Equipment and Supplies', 8.721099999999998]","['Lubrication', 8.672200000000002]","['Abrasives', 8.555399999999999]","['Power Tools', 7.7987]","['Electronics, Appliances, and Batteries', 7.3088]","['Material Handling', 7.0445]"
565439,"['Safety', 6.975]","['Machining', 6.17]","['Hand Tools', 3.4858000000000002]","['Cleaning', 3.3938]","['Adhesives, Sealants and Tape', 3.3903999999999996]","['Electrical', 2.7773]","['Power Tools', 2.6951]","['Abrasives', 2.5866]","['Electronics, Appliances, and Batteries', 2.4779]","['Fasteners', 2.3724]","['Lubrication', 2.2704]","['Material Handling', 2.2557]","['Pneumatics', 2.2396]","['Plumbing', 2.1870000000000003]","['Lighting', 1.8938]"
565478,"['Hand Tools', 52.215500000000006]","['Safety', 25.628299999999996]","['Electrical', 22.8948]","['Power Tools', 22.6512]","['Cleaning', 22.198499999999996]","['Adhesives, Sealants and Tape', 22.0318]","['Material Handling', 21.1461]","['Machining', 18.725300000000004]","['Lighting', 16.3219]","['Abrasives', 16.2217]","['Electronics, Appliances, and Batteries', 16.1887]","['Fasteners', 15.653300000000002]","['Welding', 14.3613]","['Pneumatics', 14.179300000000003]","['Lubrication', 14.093600000000006]"
565546,"['Fasteners', 21.001199999999997]","['Electrical', 12.9075]","['Plumbing', 10.6755]","['Pneumatics', 7.499300000000001]","['Machining', 6.9818999999999996]","['Adhesives, Sealants and Tape', 6.9509]","['Cleaning', 5.9543]","['Power Tools', 5.7346]","['Hand Tools', 5.646399999999999]","['Lubrication', 5.618399999999999]","['Safety', 5.4159999999999995]","['Abrasives', 5.180599999999999]","['Fleet and Vehicle Maintenance', 4.4983]","['Electronics, Appliances, and Batteries', 4.409800000000001]","['Material Handling', 4.3988000000000005]"
565670,"['Plumbing', 11.731399999999999]","['Safety', 10.845600000000001]","['Pneumatics', 10.1759]","['Adhesives, Sealants and Tape', 10.1066]","['Fasteners', 9.5402]","['Machining', 9.4042]","['Hand Tools', 9.2443]","['Abrasives', 8.991900000000001]","['Electrical', 8.5035]","['Cleaning', 8.2565]","['Electronics, Appliances, and Batteries', 7.8519000000000005]","['Power Tools', 6.764600000000001]","['Lubrication', 6.4869]","['Lighting', 6.106]","['Material Handling', 5.753299999999999]"
565680,"['Fasteners', 15.940299999999999]","['Pneumatics', 10.041599999999999]","['Electrical', 7.1209999999999996]","['Plumbing', 6.4822999999999995]","['Machining', 5.4498999999999995]","['Adhesives, Sealants and Tape', 4.916399999999999]","['Lubrication', 4.3021]","['Cleaning', 4.2825999999999995]","['Power Tools', 4.1672]","['Abrasives', 4.0394]","['Hand Tools', 4.0241999999999996]","['Safety', 3.6965000000000003]","['Electronics, Appliances, and Batteries', 3.1572]","['Material Handling', 3.1167]","['Fleet and Vehicle Maintenance', 2.8218]"
565684,"['Pneumatics', 10.9355]","['Plumbing', 10.2391]","['Machining', 8.8461]","['Electrical', 8.1104]","['Fasteners', 6.1764]","['Adhesives, Sealants and Tape', 5.5035]","['Cleaning', 4.7836]","['Power Tools', 4.5117]","['Abrasives', 4.4883999999999995]","['Lubrication', 4.4851]","['Hand Tools', 4.4826999999999995]","['Safety', 4.1269]","['Material Handling', 3.6090999999999998]","['Electronics, Appliances, and Batteries', 3.5600000000000005]","['Hardware', 3.3554]"
566075,"['Safety', 29.1257]","['Cleaning', 18.3422]","['Hand Tools', 14.241600000000002]","['Adhesives, Sealants and Tape', 14.1561]","['Electronics, Appliances, and Batteries', 11.328800000000001]","['Lighting', 11.211000000000002]","['Material Handling', 10.793099999999999]","['Electrical', 10.7788]","['Paint, Equipment and Supplies', 10.4271]","['Power Tools', 9.607099999999999]","['Abrasives', 9.147699999999999]","['Lubrication', 8.446100000000001]","['Machining', 8.2419]","['Pneumatics', 8.1573]","['Plumbing', 8.131]"
566141,"['Safety', 16.2224]","['Hand Tools', 8.843699999999998]","['Electronics, Appliances, and Batteries', 7.7718]","['Cleaning', 7.4996]","['Adhesives, Sealants and Tape', 7.0693]","['Material Handling', 5.6106]","['Abrasives', 5.4557]","['Electrical', 5.4392]","['Lighting', 5.3815]","['Power Tools', 4.965]","['Machining', 4.291399999999999]","['Lubrication', 4.0988]","['Plumbing', 3.8819]","['Paint, Equipment and Supplies', 3.8655]","['Fasteners', 3.7021]"
566285,"['Hand Tools', 48.677200000000006]","['Safety', 32.359399999999994]","['Cleaning', 24.818399999999997]","['Adhesives, Sealants and Tape', 21.773699999999998]","['Material Handling', 20.4807]","['Power Tools', 19.3301]","['Electrical', 18.636100000000003]","['Lighting', 17.907499999999995]","['Electronics, Appliances, and Batteries', 16.6356]","['Machining', 15.6861]","['Abrasives', 15.389]","['Lubrication', 13.5104]","['Test Instruments', 13.478000000000002]","['Outdoor Equipment', 13.295]","['Paint, Equipment and Supplies', 12.9985]"
566693,"['Safety', 16.7995]","['Hand Tools', 10.0236]","['Cleaning', 7.308300000000001]","['Adhesives, Sealants and Tape', 6.8099]","['Electrical', 6.030899999999999]","['Electronics, Appliances, and Batteries', 5.1489]","['Power Tools', 4.9185]","['Material Handling', 4.7382]","['Abrasives', 4.4296]","['Lighting', 4.2953]","['Machining', 4.1097]","['Lubrication', 3.8018]","['Plumbing', 3.792]","['Fasteners', 3.6859]","['Paint, Equipment and Supplies', 3.5371]"
566888,"['Power Tools', 7.9538]","['Machining', 6.7069]","['Pneumatics', 6.243099999999999]","['Hand Tools', 3.705]","['Adhesives, Sealants and Tape', 3.6502]","['Electrical', 3.6001000000000003]","['Fasteners', 3.4299999999999997]","['Cleaning', 3.2878]","['Abrasives', 3.2836]","['Plumbing', 3.1655999999999995]","['Lubrication', 2.9923]","['Safety', 2.9333]","['Welding', 2.8811999999999998]","['Material Handling', 2.8631]","['Electronics, Appliances, and Batteries', 2.404]"
566938,"['Hand Tools', 7.4478]","['Power Tools', 4.4352]","['Electronics, Appliances, and Batteries', 4.1026]","['Adhesives, Sealants and Tape', 4.0744]","['Safety', 3.6337]","['Cleaning', 3.3678999999999997]","['Electrical', 2.7896]","['Machining', 2.5698]","['Abrasives', 2.5579]","['Material Handling', 2.5315]","['Lighting', 2.4405]","['Lubrication', 2.2052]","['Paint, Equipment and Supplies', 2.0587]","['Pneumatics', 2.0473000000000003]","['Fasteners', 2.0455]"
567114,"['Safety', 11.312899999999999]","['Cleaning', 10.774]","['Hand Tools', 6.24]","['Adhesives, Sealants and Tape', 5.8912]","['Material Handling', 5.2384]","['Power Tools', 4.9828]","['Electrical', 4.667]","['Machining', 4.5600000000000005]","['Electronics, Appliances, and Batteries', 4.4422999999999995]","['Abrasives', 4.1274]","['Lubrication', 3.7687000000000004]","['Lighting', 3.5900999999999996]","['Plumbing', 3.5103]","['Paint, Equipment and Supplies', 3.4435000000000002]","['Pneumatics', 3.3881999999999994]"
567481,"['Plumbing', 21.2807]","['Electrical', 18.650899999999996]","['Safety', 15.755099999999999]","['Adhesives, Sealants and Tape', 15.2309]","['Hand Tools', 14.804]","['Cleaning', 12.701500000000001]","['Power Tools', 12.6812]","['Material Handling', 11.8605]","['Fasteners', 11.4123]","['Pneumatics', 10.775500000000001]","['Machining', 10.0573]","['Paint, Equipment and Supplies', 9.5978]","['Abrasives', 9.378400000000001]","['Lighting', 9.2239]","['Lubrication', 9.2219]"
567536,"['Electrical', 10.7848]","['Plumbing', 9.7547]","['Electronics, Appliances, and Batteries', 7.9909]","['Adhesives, Sealants and Tape', 6.7168]","['Fasteners', 6.276800000000001]","['Safety', 5.7959]","['Cleaning', 5.374899999999999]","['Hand Tools', 5.0712]","['Pneumatics', 5.069999999999999]","['Machining', 4.583000000000001]","['Power Tools', 4.2302]","['Lubrication', 4.162299999999999]","['Abrasives', 4.1461]","['Lighting', 4.0954]","['Material Handling', 3.7194]"
567645,"['Adhesives, Sealants and Tape', 7.705900000000001]","['Electrical', 6.333]","['Lighting', 6.026599999999998]","['Plumbing', 5.7578]","['Power Tools', 5.5874]","['Pneumatics', 5.4624]","['Hand Tools', 4.7026]","['Cleaning', 4.6884999999999994]","['Electronics, Appliances, and Batteries', 4.6073]","['Lubrication', 4.5774]","['Safety', 4.4615]","['Fasteners', 4.1383]","['Machining', 4.0618]","['Abrasives', 3.8651999999999997]","['Material Handling', 3.6571]"
568260,"['Fasteners', 6.591200000000001]","['Cleaning', 6.269500000000001]","['Plumbing', 5.3050999999999995]","['Pneumatics', 5.152799999999998]","['Machining', 4.3264000000000005]","['Electrical', 4.2465]","['Adhesives, Sealants and Tape', 3.9596]","['Power Tools', 3.9594]","['Hand Tools', 3.5905000000000005]","['Safety', 3.4949000000000003]","['Lubrication', 3.1623000000000006]","['Abrasives', 3.1203]","['Material Handling', 2.9219]","['Electronics, Appliances, and Batteries', 2.7234]","['Test Instruments', 2.4194]"
568263,"['Electrical', 7.8235]","['Adhesives, Sealants and Tape', 4.4446]","['Lubrication', 2.9513]","['Plumbing', 2.9306999999999994]","['Fasteners', 2.9238999999999997]","['Cleaning', 2.7906000000000004]","['Hand Tools', 2.7281]","['Safety', 2.7268]","['Pneumatics', 2.5373]","['Machining', 2.4263000000000003]","['Power Tools', 2.4049000000000005]","['Abrasives', 2.1584]","['Electronics, Appliances, and Batteries', 2.1290999999999998]","['Lighting', 2.0944000000000003]","['Material Handling', 2.0403000000000002]"
568360,"['Adhesives, Sealants and Tape', 12.2087]","['Plumbing', 10.3116]","['Electrical', 7.0242]","['Power Tools', 6.9759]","['Safety', 6.347200000000001]","['Cleaning', 5.928999999999999]","['Hand Tools', 5.7967]","['Fasteners', 5.3715]","['Pneumatics', 5.119599999999999]","['Machining', 5.1154]","['Abrasives', 4.8269]","['Lubrication', 4.6945]","['Electronics, Appliances, and Batteries', 4.607799999999999]","['Material Handling', 4.1493]","['Lighting', 4.0998]"
568429,"['Material Handling', 29.0]","['Cleaning', 8.1287]","['Hand Tools', 7.429799999999999]","['Power Tools', 6.843999999999999]","['Safety', 6.777299999999999]","['Adhesives, Sealants and Tape', 6.2553]","['Electrical', 6.0291]","['Lighting', 5.6753]","['Paint, Equipment and Supplies', 5.0257000000000005]","['Abrasives', 4.9532]","['Machining', 4.9502999999999995]","['Fleet and Vehicle Maintenance', 4.6342]","['Pneumatics', 4.5182]","['Outdoor Equipment', 4.4631]","['Lubrication', 4.4544]"
568465,"['Safety', 25.6587]","['Cleaning', 17.6646]","['Hand Tools', 12.4343]","['Adhesives, Sealants and Tape', 11.7431]","['Electronics, Appliances, and Batteries', 11.5495]","['Electrical', 9.002500000000001]","['Material Handling', 8.439]","['Lighting', 8.2719]","['Power Tools', 7.936999999999999]","['Office Supplies', 7.927999999999999]","['Abrasives', 7.874599999999999]","['Paint, Equipment and Supplies', 7.4917]","['Lubrication', 7.1058]","['Machining', 6.9656]","['Plumbing', 6.604899999999999]"
568477,"['Hand Tools', 15.8369]","['Machining', 10.0901]","['Fasteners', 8.5617]","['Lubrication', 7.729]","['Power Tools', 7.6894]","['Adhesives, Sealants and Tape', 7.6174]","['Safety', 7.4517999999999995]","['Cleaning', 7.268699999999999]","['Electrical', 6.7982000000000005]","['Abrasives', 6.028599999999999]","['Pneumatics', 5.6228]","['Material Handling', 5.4449]","['Electronics, Appliances, and Batteries', 5.4428]","['Plumbing', 5.3721]","['Lighting', 4.694]"
568696,"['Fasteners', 10.8876]","['Machining', 7.526300000000001]","['Electrical', 7.4049]","['Plumbing', 6.5511]","['Pneumatics', 4.8061]","['Adhesives, Sealants and Tape', 4.6378]","['Lubrication', 4.5623]","['Cleaning', 3.9555000000000002]","['Power Tools', 3.9412000000000003]","['Hand Tools', 3.8137]","['Abrasives', 3.6939999999999995]","['Safety', 3.5405999999999995]","['Electronics, Appliances, and Batteries', 2.9850000000000003]","['Material Handling', 2.9227]","['Lighting', 2.5888]"
568772,"['Pneumatics', 13.6252]","['Plumbing', 11.5244]","['Electrical', 5.807600000000001]","['Fasteners', 5.6983]","['Adhesives, Sealants and Tape', 4.968999999999999]","['Machining', 4.7379]","['Cleaning', 4.4536999999999995]","['Lubrication', 4.1642]","['Electronics, Appliances, and Batteries', 4.016500000000001]","['Abrasives', 4.016299999999999]","['Hand Tools', 3.8868]","['Power Tools', 3.7201000000000004]","['Safety', 3.6818]","['Material Handling', 3.2306]","['Outdoor Equipment', 3.0976999999999997]"
569026,"['Electrical', 5.2019]","['Lubrication', 2.0095]","['Adhesives, Sealants and Tape', 1.823]","['Fasteners', 1.8158999999999998]","['Plumbing', 1.7837]","['Cleaning', 1.574]","['Pneumatics', 1.5471]","['Hand Tools', 1.5321]","['Safety', 1.5084]","['Machining', 1.4213]","['Power Tools', 1.4041]","['Lighting', 1.2216]","['Abrasives', 1.2042]","['Material Handling', 1.1931]","['Electronics, Appliances, and Batteries', 1.1647]"
569029,"['Cleaning', 16.7475]","['Electrical', 14.2937]","['Safety', 13.4049]","['Plumbing', 12.4604]","['Adhesives, Sealants and Tape', 11.992099999999997]","['Hand Tools', 9.864600000000001]","['Electronics, Appliances, and Batteries', 9.2281]","['Abrasives', 8.9796]","['Fasteners', 8.1021]","['Pneumatics', 7.7587]","['Machining', 7.571300000000001]","['Power Tools', 7.5005]","['Material Handling', 7.413599999999999]","['Lubrication', 7.312799999999999]","['Lighting', 6.5921]"
569128,"['Adhesives, Sealants and Tape', 12.7607]","['Cleaning', 12.1448]","['Safety', 8.9846]","['Electronics, Appliances, and Batteries', 8.4876]","['Office Supplies', 7.521400000000001]","['Hand Tools', 7.453899999999999]","['Electrical', 6.1519]","['Abrasives', 5.742799999999999]","['Material Handling', 5.483699999999999]","['Lubrication', 5.4448]","['Power Tools', 5.4374]","['Machining', 5.1549]","['Lighting', 5.0676]","['Paint, Equipment and Supplies', 4.9149]","['Plumbing', 4.875299999999999]"
569165,"['Safety', 9.3168]","['Adhesives, Sealants and Tape', 5.5642]","['Cleaning', 4.4371]","['Hand Tools', 4.3941]","['Electrical', 4.3369]","['Power Transmission', 3.9531]","['HVAC and Refrigeration', 3.5094000000000003]","['Electronics, Appliances, and Batteries', 3.2319000000000004]","['Power Tools', 3.0366999999999997]","['Plumbing', 2.9583]","['Material Handling', 2.9457]","['Lighting', 2.9199]","['Abrasives', 2.8948]","['Machining', 2.7144]","['Lubrication', 2.6702000000000004]"
569186,"['Abrasives', 12.957]","['Hand Tools', 12.0746]","['Safety', 8.785]","['Adhesives, Sealants and Tape', 7.132499999999999]","['Electrical', 6.871699999999999]","['Cleaning', 6.8614999999999995]","['Power Tools', 5.7773]","['Machining', 5.5043999999999995]","['Electronics, Appliances, and Batteries', 5.253500000000001]","['Material Handling', 4.8745]","['Lubrication', 4.8693]","['Pneumatics', 4.641900000000001]","['Fasteners', 4.514]","['Plumbing', 4.3645]","['Paint, Equipment and Supplies', 4.207]"
569298,"['Plumbing', 17.5539]","['Electrical', 12.974599999999999]","['Fasteners', 8.6111]","['Pneumatics', 7.9839]","['Adhesives, Sealants and Tape', 7.4506000000000006]","['Safety', 7.2234]","['Cleaning', 6.526200000000001]","['Lubrication', 6.0661000000000005]","['Machining', 6.005799999999999]","['Hand Tools', 5.9299]","['Electronics, Appliances, and Batteries', 5.544099999999999]","['Power Tools', 5.2963]","['Abrasives', 5.0995]","['Lighting', 4.7096]","['Material Handling', 4.643199999999999]"
569322,"['Machining', 39.1789]","['Adhesives, Sealants and Tape', 10.5908]","['Fasteners', 10.4894]","['Power Tools', 10.461300000000001]","['Abrasives', 10.1531]","['Pneumatics', 9.8938]","['Electrical', 9.488900000000001]","['Hand Tools', 9.476199999999999]","['Lubrication', 9.1509]","['Cleaning', 8.982899999999999]","['Plumbing', 8.5785]","['Electronics, Appliances, and Batteries', 7.9771]","['Safety', 7.8689]","['Material Handling', 6.810599999999999]","['Paint, Equipment and Supplies', 6.1884999999999994]"
569327,"['Fasteners', 33.0]","['Electrical', 10.649099999999999]","['Plumbing', 10.3356]","['Pneumatics', 8.8968]","['Machining', 8.7516]","['Adhesives, Sealants and Tape', 7.6329]","['Lubrication', 6.6792]","['Power Tools', 6.6033]","['Cleaning', 6.4878]","['Hand Tools', 6.1644]","['Abrasives', 6.1083]","['Safety', 5.7552]","['Electronics, Appliances, and Batteries', 4.8378000000000005]","['Material Handling', 4.653]","['Fleet and Vehicle Maintenance', 4.1382]"
569330,"['Plumbing', 48.151]","['Electrical', 23.7713]","['Fasteners', 23.4557]","['Pneumatics', 20.3028]","['Adhesives, Sealants and Tape', 16.541700000000002]","['Machining', 16.046]","['Lubrication', 15.793000000000001]","['Cleaning', 14.126999999999999]","['Hand Tools', 12.427799999999998]","['Safety', 12.318000000000001]","['Power Tools', 12.1841]","['Abrasives', 11.961199999999998]","['Electronics, Appliances, and Batteries', 10.3298]","['Material Handling', 10.3248]","['Lighting', 10.158399999999999]"
569353,"['Fasteners', 54.429899999999996]","['Electrical', 19.258899999999997]","['Plumbing', 18.165599999999998]","['Safety', 15.833300000000001]","['Pneumatics', 15.674000000000001]","['Machining', 15.643500000000001]","['Adhesives, Sealants and Tape', 15.587900000000001]","['Cleaning', 13.2819]","['Hand Tools', 12.8014]","['Power Tools', 12.4851]","['Lubrication', 12.3004]","['Abrasives', 11.559800000000001]","['Electronics, Appliances, and Batteries', 9.8964]","['Material Handling', 9.3469]","['Lighting', 8.9505]"
569654,"['Plumbing', 19.637]","['Electrical', 8.0515]","['Fasteners', 6.5962]","['Pneumatics', 6.1678999999999995]","['Adhesives, Sealants and Tape', 5.4666]","['Cleaning', 4.5923]","['Machining', 4.5806000000000004]","['Lubrication', 4.0366]","['Safety', 4.0341000000000005]","['Hand Tools', 3.8867]","['Power Tools', 3.7415999999999996]","['Abrasives', 3.737]","['Lighting', 3.3804]","['Electronics, Appliances, and Batteries', 3.3259]","['Material Handling', 3.2885999999999997]"
