order_number,Rec_0,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14
191041,"['Plumbing', 13.8383]","['Fasteners', 11.6251]","['Pneumatics', 10.0646]","['Adhesives, Sealants and Tape', 9.4081]","['Hand Tools', 8.943899999999998]","['Electrical', 8.248000000000001]","['Cleaning', 7.4618]","['Machining', 6.6201]","['Safety', 6.434799999999999]","['Power Tools', 5.8801]","['Lubrication', 5.7631000000000006]","['Abrasives', 5.7365]","['Electronics, Appliances, and Batteries', 5.1088]","['Material Handling', 4.923299999999999]","['Lighting', 4.4985]"
192063,"['Safety', 24.0]","['Hand Tools', 9.2112]","['Cleaning', 9.103200000000001]","['Adhesives, Sealants and Tape', 8.2776]","['Electrical', 6.3431999999999995]","['Electronics, Appliances, and Batteries', 6.333600000000001]","['Material Handling', 5.6088]","['Power Tools', 5.4984]","['Abrasives', 5.2463999999999995]","['Lighting', 5.0592]","['Machining', 4.68]","['Lubrication', 4.4856]","['Plumbing', 4.428]","['Paint, Equipment and Supplies', 4.1904]","['Fasteners', 4.1856]"
192423,"['Hand Tools', 48.9208]","['Safety', 21.5528]","['Cleaning', 18.5549]","['Adhesives, Sealants and Tape', 18.231]","['Power Tools', 16.823500000000003]","['Material Handling', 15.5735]","['Machining', 15.4962]","['Abrasives', 14.985199999999999]","['Electrical', 14.751100000000001]","['Electronics, Appliances, and Batteries', 13.638699999999996]","['Lighting', 12.355]","['Paint, Equipment and Supplies', 11.527200000000002]","['Lubrication', 11.474799999999997]","['Pneumatics', 10.9653]","['Fasteners', 10.7537]"
192463,"['Hand Tools', 28.0]","['Safety', 10.7464]","['Cleaning', 9.4696]","['Adhesives, Sealants and Tape', 9.2792]","['Power Tools', 8.6632]","['Electrical', 7.4648]","['Material Handling', 7.1735999999999995]","['Electronics, Appliances, and Batteries', 6.9664]","['Abrasives', 6.692]","['Machining', 6.6248000000000005]","['Lighting', 6.4092]","['Lubrication', 5.5748]","['Pneumatics', 5.331200000000001]","['Paint, Equipment and Supplies', 5.32]","['Fasteners', 5.2303999999999995]"
192785,"['Cleaning', 16.1285]","['Safety', 15.4741]","['Adhesives, Sealants and Tape', 12.202900000000001]","['Plumbing', 12.166]","['Hand Tools', 10.376]","['Paint, Equipment and Supplies', 10.2328]","['Electrical', 10.2276]","['Lubrication', 9.187100000000001]","['Lighting', 8.8819]","['Electronics, Appliances, and Batteries', 8.2321]","['Material Handling', 8.1495]","['Outdoor Equipment', 8.0161]","['Power Tools', 7.989299999999999]","['Abrasives', 7.7134]","['HVAC and Refrigeration', 7.5013]"
192864,"['Cleaning', 23.912100000000002]","['Hand Tools', 10.088000000000001]","['Safety', 9.720600000000001]","['Adhesives, Sealants and Tape', 8.7917]","['Material Handling', 7.195299999999999]","['Power Tools', 7.0399]","['Electrical', 6.8956]","['Electronics, Appliances, and Batteries', 6.6965]","['Abrasives', 6.408399999999999]","['Lubrication', 6.1923]","['Machining', 5.8801000000000005]","['Paint, Equipment and Supplies', 5.6449]","['Plumbing', 5.439299999999999]","['Pneumatics', 5.413799999999999]","['Lighting', 5.1856]"
192935,"['Fasteners', 12.073600000000003]","['Adhesives, Sealants and Tape', 8.632099999999998]","['Plumbing', 7.9966]","['Electrical', 6.4627]","['Abrasives', 6.277900000000001]","['Machining', 6.25]","['Cleaning', 6.123799999999999]","['Safety', 5.701099999999999]","['Lubrication', 5.5943]","['Pneumatics', 5.481999999999999]","['Hand Tools', 5.172]","['Power Tools', 4.6747000000000005]","['Electronics, Appliances, and Batteries', 4.241099999999999]","['Material Handling', 3.7653]","['Paint, Equipment and Supplies', 3.5376999999999996]"
193015,"['Safety', 13.0937]","['Hand Tools', 8.804699999999999]","['Cleaning', 7.4543]","['Adhesives, Sealants and Tape', 7.1395]","['Electronics, Appliances, and Batteries', 6.6588]","['Welding', 5.3539]","['Office Supplies', 5.2284]","['Electrical', 5.0172]","['Power Tools', 4.7696]","['Material Handling', 4.6765]","['Abrasives', 4.580500000000001]","['Lighting', 4.3652]","['Machining', 4.073600000000001]","['Lubrication', 4.0215]","['Paint, Equipment and Supplies', 3.8005000000000004]"
193021,"['Safety', 31.0]","['Hand Tools', 11.897799999999998]","['Cleaning', 11.7583]","['Adhesives, Sealants and Tape', 10.6919]","['Electrical', 8.193299999999999]","['Electronics, Appliances, and Batteries', 8.180900000000001]","['Material Handling', 7.2447]","['Power Tools', 7.1021]","['Abrasives', 6.776599999999999]","['Lighting', 6.5348]","['Machining', 6.045]","['Lubrication', 5.793900000000001]","['Plumbing', 5.7195]","['Paint, Equipment and Supplies', 5.4126]","['Fasteners', 5.4064]"
193163,"['Plumbing', 12.1047]","['Electrical', 7.701700000000001]","['Paint, Equipment and Supplies', 7.184]","['Fasteners', 7.1036]","['Electronics, Appliances, and Batteries', 6.6157]","['Adhesives, Sealants and Tape', 6.2571]","['Cleaning', 5.7359]","['Safety', 5.6926]","['Pneumatics', 5.5081999999999995]","['Lubrication', 5.4345]","['Hand Tools', 5.1006]","['Material Handling', 4.9136999999999995]","['Machining', 4.871]","['Abrasives', 4.534000000000001]","['Power Tools', 4.5211]"
